Date,Portfolio 1,Portfolio 2,Portfolio 3,Portfolio 4,Portfolio 5
1945-07,-0.033859,-0.044657,-0.045253,-0.027496,-0.030259
1945-08,0.053994,0.061841,0.069948,0.060503,0.063682
1945-09,0.058509,0.059758,0.059392,0.06693,0.046942
1945-10,0.11168,0.060087,0.052268,0.050112,0.044737
1945-11,0.127997,0.099982,0.084905,0.085089,0.051515
1945-12,0.03051,0.026592,0.012933,0.014644,0.01061
1946-01,0.155554,0.093439,0.077709,0.079354,0.060776
1946-02,-0.064653,-0.073968,-0.077337,-0.068016,-0.063408
1946-03,0.034221,0.049103,0.068111,0.062558,0.064959
1946-04,0.070967,0.05035,0.046085,0.042265,0.038664
1946-05,0.060729,0.049933,0.067082,0.052493,0.039005
1946-06,-0.051603,-0.046791,-0.05808,-0.055332,-0.042745
1946-07,-0.049448,-0.045838,-0.043888,-0.040698,-0.027634
1946-08,-0.090219,-0.08526,-0.080677,-0.076471,-0.061362
1946-09,-0.169435,-0.148447,-0.134122,-0.133284,-0.104439
1946-10,-0.0121,-0.021706,-0.009888,-0.014524,-0.011128
1946-11,-0.010992,-0.01649,-0.00529,-0.005133,-0.008266
1946-12,0.017714,0.038344,0.045684,0.048999,0.047261
1947-01,0.068392,0.03433,0.025121,0.007925,0.003262
1947-02,-0.004521,-0.01015,-0.013397,-0.00976,-0.019822
1947-03,-0.04669,-0.046728,-0.027122,-0.023345,-0.025333
1947-04,-0.115142,-0.082063,-0.08549,-0.074883,-0.056782
1947-05,-0.06812,-0.047626,-0.041662,-0.03619,-0.017398
1947-06,0.061374,0.041506,0.044535,0.057015,0.052338
1947-07,0.075579,0.06538,0.057715,0.058208,0.038938
1947-08,-0.030258,-0.017284,-0.013557,-0.020768,-0.025902
1947-09,0.002545,0.005979,-0.000178,0.000454,-0.007142
1947-10,0.042919,0.030597,0.029411,0.022236,0.023604
1947-11,-0.041869,-0.047445,-0.033139,-0.034547,-0.02935
1947-12,0.007937,0.009535,0.00437,0.019251,0.028659
1948-01,0.019109,-0.015989,-0.027255,-0.023787,-0.043144
1948-02,-0.077982,-0.069447,-0.064285,-0.055927,-0.051902
1948-03,0.10069,0.080244,0.089119,0.090807,0.091627
1948-04,0.048426,0.018958,0.037963,0.044675,0.034653
1948-05,0.104703,0.085498,0.080624,0.07479,0.067948
1948-06,-0.022923,-0.021118,-0.016841,-0.022292,-0.008244
1948-07,-0.060131,-0.053067,-0.055737,-0.053099,-0.054199
1948-08,-0.016156,-0.013561,-0.0065,-0.000249,-0.002849
1948-09,-0.062763,-0.04279,-0.051387,-0.050627,-0.036923
1948-10,0.050808,0.04576,0.043142,0.055942,0.055836
1948-11,-0.129149,-0.118608,-0.110054,-0.115079,-0.105423
1948-12,-0.030454,-0.003537,0.008852,0.01606,0.025561
1949-01,0.041917,0.010887,0.002238,0.00996,0.002321
1949-02,-0.058917,-0.06115,-0.047772,-0.033521,-0.030508
1949-03,0.067184,0.060606,0.054256,0.041073,0.035327
1949-04,-0.036398,-0.040635,-0.042929,-0.033895,-0.019976
1949-05,-0.080827,-0.057152,-0.047517,-0.033008,-0.031274
1949-06,-0.008633,-0.027218,-0.01906,-0.013234,0.002505
1949-07,0.057711,0.062538,0.064402,0.061172,0.050853
1949-08,0.019706,0.01775,0.022812,0.01766,0.017004
1949-09,0.045272,0.04107,0.03832,0.034284,0.030127
1949-10,0.064327,0.033174,0.030876,0.02817,0.023103
1949-11,-0.018434,-0.003811,0.003668,0.012258,0.010348
1949-12,0.071307,0.064981,0.061627,0.055046,0.045074
1950-01,0.067067,0.039354,0.040642,0.022165,0.015693
1950-02,0.02432,0.011805,0.004667,0.011796,0.007422
1950-03,-0.009237,-0.014526,-0.005458,-0.001706,0.003163
1950-04,0.062467,0.050109,0.049273,0.039272,0.027882
1950-05,0.027789,0.024569,0.028858,0.018953,0.037138
1950-06,-0.0906,-0.089893,-0.080884,-0.082776,-0.065673
1950-07,0.099833,0.060359,0.039926,0.029833,0.013374
1950-08,0.05726,0.043176,0.047391,0.04022,0.038826
1950-09,0.036362,0.052222,0.050674,0.057342,0.045653
1950-10,-0.00371,-0.001456,-0.010534,-0.01296,-0.00649
1950-11,0.022655,0.020231,0.015516,0.022419,0.022837
1950-12,0.120343,0.077429,0.058681,0.061573,0.052151
1951-01,0.078537,0.086416,0.083708,0.064768,0.050334
1951-02,0.003255,0.008895,0.0029,0.011157,0.007167
1951-03,-0.050085,-0.033347,-0.040753,-0.039345,-0.027171
1951-04,0.033566,0.034886,0.039886,0.04297,0.044428
1951-05,-0.036322,-0.033633,-0.031391,-0.026175,-0.025094
1951-06,-0.057112,-0.059018,-0.060194,-0.044839,-0.02843
1951-07,0.043162,0.060983,0.059972,0.07549,0.074382
1951-08,0.051681,0.045633,0.041323,0.032337,0.032785
1951-09,0.019606,0.023155,0.019538,0.018431,0.013659
1951-10,-0.023769,-0.029373,-0.027298,-0.027468,-0.024031
1951-11,-0.011575,-0.003757,0.001938,0.011571,-0.004594
1951-12,-0.008998,0.002787,0.000919,0.014406,0.031133
1952-01,0.014024,0.018235,0.011716,0.013938,0.020286
1952-02,-0.024933,-0.022142,-0.029029,-0.021818,-0.032105
1952-03,0.011223,0.019153,0.023396,0.028377,0.037591
1952-04,-0.044029,-0.047227,-0.044929,-0.052085,-0.049117
1952-05,0.009399,0.015592,0.01834,0.02449,0.024146
1952-06,0.024285,0.018194,0.025553,0.029507,0.030782
1952-07,0.007495,0.010546,0.011565,0.008672,0.0096
1952-08,-0.004233,0.000447,-0.002708,-0.005267,-0.013564
1952-09,-0.015299,-0.021519,-0.017799,-0.02151,-0.023604
1952-10,-0.012001,-0.023747,-0.011698,-0.011865,-0.012916
1952-11,0.040532,0.047217,0.052033,0.048061,0.054395
1952-12,0.003218,0.019214,0.011106,0.022163,0.022937
1953-01,0.049302,0.037008,0.023614,0.009609,-0.006123
1953-02,0.024883,0.009181,0.007133,-0.001469,-0.009688
1953-03,-0.015976,-0.021068,-0.017984,-0.013187,-0.011918
1953-04,-0.022078,-0.023129,-0.02553,-0.028653,-0.03191
1953-05,0.002194,0.000122,-0.001602,0.001286,5.5e-05
1953-06,-0.048887,-0.040768,-0.038316,-0.030769,-0.02388
1953-07,0.016501,0.008214,0.01655,0.013278,0.025056
1953-08,-0.065179,-0.06316,-0.058303,-0.052526,-0.049137
1953-09,-0.035554,-0.022267,-0.01531,-0.007349,0.00084
1953-10,0.018916,0.030413,0.043627,0.041699,0.044345
1953-11,0.008967,0.010764,0.010112,0.020782,0.01883
1953-12,-0.047121,-0.029587,-0.019264,-0.009696,-0.006012
1954-01,0.100101,0.071198,0.068849,0.056809,0.052944
1954-02,-0.004895,0.005124,0.013902,0.013813,0.007331
1954-03,0.018813,0.019253,0.019676,0.034732,0.029168
1954-04,0.012756,-0.00138,0.016005,0.022426,0.033264
1954-05,0.03744,0.039791,0.044236,0.034349,0.028944
1954-06,0.010737,0.002968,0.008238,0.015091,0.002881
1954-07,0.10004,0.068807,0.064851,0.062252,0.054327
1954-08,0.002243,-0.00616,-0.014221,-0.022479,-0.032966
1954-09,0.030583,0.040771,0.0372,0.046954,0.047128
1954-10,-0.003626,-0.011301,-0.00776,-0.007635,-0.014927
1954-11,0.070379,0.090604,0.088577,0.087061,0.087241
1954-12,0.134646,0.090371,0.08361,0.053224,0.055653
1955-01,0.021013,0.013124,0.017728,0.0031,0.002795
1955-02,0.049727,0.041526,0.039726,0.030245,0.030446
1955-03,-0.002151,-0.006072,-0.00668,-0.006801,0.003851
1955-04,0.025111,0.016589,0.02021,0.020079,0.024982
1955-05,0.004645,-0.002596,0.001213,0.002988,0.011509
1955-06,0.019482,0.030867,0.024644,0.035902,0.042759
1955-07,0.021762,0.002115,0.002557,0.001842,0.003573
1955-08,-0.00726,-0.001111,0.005251,0.002517,0.007295
1955-09,0.004924,-0.012791,-0.013502,-0.021304,-0.017614
1955-10,-0.019321,-0.0112,-0.013905,-0.023687,-0.02632
1955-11,0.02795,0.047268,0.051093,0.056857,0.060135
1955-12,0.023943,0.014326,0.02254,0.01501,0.016549
1956-01,-0.002852,-0.022691,-0.027058,-0.031416,-0.027902
1956-02,0.024153,0.027671,0.029167,0.031502,0.035285
1956-03,0.034107,0.039322,0.041467,0.05612,0.06851
1956-04,0.009107,0.002443,-0.00027,0.001344,0.003019
1956-05,-0.042885,-0.048523,-0.040497,-0.040079,-0.050364
1956-06,0.002192,0.006988,0.019367,0.026858,0.033372
1956-07,0.022325,0.037105,0.041681,0.043144,0.05079
1956-08,-0.015298,-0.019362,-0.020323,-0.029846,-0.030426
1956-09,-0.032378,-0.029578,-0.039686,-0.043276,-0.055955
1956-10,0.003075,0.002003,0.006412,0.006847,0.006925
1956-11,-0.00569,0.002627,0.000453,0.001796,0.001697
1956-12,0.002256,0.018369,0.019936,0.024264,0.026419
1957-01,0.029549,0.011338,0.000325,-0.010174,-0.026646
1957-02,-0.02914,-0.033203,-0.030499,-0.02433,-0.024233
1957-03,0.016151,0.014398,0.017114,0.021993,0.023152
1957-04,0.02266,0.01286,0.020727,0.028468,0.032852
1957-05,0.006164,0.009111,0.019631,0.018284,0.0315
1957-06,0.005506,-0.009571,-0.015924,-0.016209,-0.01706
1957-07,0.005946,0.007925,0.002063,-0.000555,0.001459
1957-08,-0.046281,-0.054693,-0.058039,-0.063464,-0.054334
